,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,LABEL
1220,"(0.6041164398193359, 0.09827962517738342, -6.069575829314999e-05)","(0.5446559190750122, 0.11858783662319183, 0.023026395589113235)","(0.5180200934410095, 0.18477880954742432, 0.03965706005692482)","(0.5117800831794739, 0.24628934264183044, 0.061804093420505524)","(0.5120913982391357, 0.29121482372283936, 0.0882037878036499)","(0.5189090371131897, 0.25596415996551514, -0.03639423847198486)","(0.49445393681526184, 0.34468185901641846, 0.006347487214952707)","(0.49250465631484985, 0.33204546570777893, 0.05521514266729355)","(0.4986123740673065, 0.31135839223861694, 0.08616869896650314)","(0.5501846671104431, 0.2784267067909241, -0.02899581380188465)","(0.5239543914794922, 0.36635854840278625, 0.015791140496730804)","(0.5173112750053406, 0.3457186818122864, 0.06757333874702454)","(0.5189939737319946, 0.32194530963897705, 0.09664808958768845)","(0.578997790813446, 0.2849527895450592, -0.012797629460692406)","(0.5510310530662537, 0.3583788275718689, 0.03047715499997139)","(0.542169988155365, 0.3344303071498871, 0.07298244535923004)","(0.5455530881881714, 0.30986613035202026, 0.09300356358289719)","(0.6030704975128174, 0.2824077010154724, 0.007099779788404703)","(0.5781816840171814, 0.33273422718048096, 0.04321109876036644)","(0.5680198669433594, 0.315247505903244, 0.07174234092235565)","(0.5696571469306946, 0.29635798931121826, 0.09023614972829819)",Position
1221,"(0.6038734912872314, 0.09790734946727753, -6.667536217719316e-05)","(0.5451885461807251, 0.11894787847995758, 0.02612663246691227)","(0.5187931060791016, 0.18404585123062134, 0.04236419498920441)","(0.5134589672088623, 0.24533399939537048, 0.06369540840387344)","(0.5155720114707947, 0.29005560278892517, 0.08898480236530304)","(0.5194986462593079, 0.2546064257621765, -0.036693040281534195)","(0.4957248568534851, 0.3459506034851074, 0.005829237401485443)","(0.49443745613098145, 0.3358941078186035, 0.05401107296347618)","(0.5000612139701843, 0.3165454566478729, 0.08450142294168472)","(0.5507106184959412, 0.2784135341644287, -0.031690813601017)","(0.5242288708686829, 0.3688128590583801, 0.012590829282999039)","(0.5179640054702759, 0.3494124412536621, 0.0642126277089119)","(0.5196661353111267, 0.32541191577911377, 0.09297969937324524)","(0.5797638893127441, 0.2863806188106537, -0.017253361642360687)","(0.5510129332542419, 0.36226385831832886, 0.02542382851243019)","(0.5431877970695496, 0.33836111426353455, 0.06802760809659958)","(0.5470826625823975, 0.3130148649215698, 0.0875961109995842)","(0.6041505336761475, 0.2846793830394745, 0.0011498809326440096)","(0.5786247253417969, 0.3368573784828186, 0.03702424839138985)","(0.5693130493164062, 0.31924673914909363, 0.06653700768947601)","(0.5717521905899048, 0.29955795407295227, 0.08508279919624329)",Position
1222,"(0.6048092246055603, 0.09985688328742981, -6.133032729849219e-05)","(0.5456165075302124, 0.12222455441951752, 0.025850776582956314)","(0.5200853943824768, 0.18708670139312744, 0.0440768226981163)","(0.514416515827179, 0.24432745575904846, 0.06741800904273987)","(0.5156806707382202, 0.28820672631263733, 0.09398768842220306)","(0.5191104412078857, 0.2614823281764984, -0.03317449614405632)","(0.49614185094833374, 0.3467673659324646, 0.010269363410770893)","(0.4939132332801819, 0.3341051936149597, 0.05916865915060043)","(0.49951690435409546, 0.3144083619117737, 0.08991049230098724)","(0.5505960583686829, 0.28216618299484253, -0.026595592498779297)","(0.5252575874328613, 0.36816442012786865, 0.01842913031578064)","(0.5188221335411072, 0.3480103611946106, 0.07071007788181305)","(0.520694375038147, 0.3253830373287201, 0.10020270943641663)","(0.5797296762466431, 0.2878338694572449, -0.010764419101178646)","(0.5528392791748047, 0.36030346155166626, 0.0317663699388504)","(0.5439959764480591, 0.3364519774913788, 0.07490203529596329)","(0.5473331809043884, 0.3123396933078766, 0.09541301429271698)","(0.6042060852050781, 0.2849486470222473, 0.008970310911536217)","(0.5803279280662537, 0.33442187309265137, 0.044171012938022614)","(0.5696641802787781, 0.3174082338809967, 0.07268048822879791)","(0.5708864331245422, 0.2989646792411804, 0.09123078733682632)",Position
1223,"(0.605181097984314, 0.09940552711486816, -7.033868314465508e-05)","(0.5455037951469421, 0.12086628377437592, 0.024791689589619637)","(0.5194672346115112, 0.18675562739372253, 0.04119038209319115)","(0.5151152014732361, 0.24828661978244781, 0.0634876936674118)","(0.5189670324325562, 0.2913180887699127, 0.089392751455307)","(0.5191740989685059, 0.25765496492385864, -0.03912035748362541)","(0.4937843084335327, 0.34325721859931946, 0.0063231224194169044)","(0.4950644373893738, 0.3194925785064697, 0.05440976470708847)","(0.5042951703071594, 0.29304924607276917, 0.08297063410282135)","(0.5507029294967651, 0.28057533502578735, -0.0322004072368145)","(0.5241258144378662, 0.3675372898578644, 0.01496320590376854)","(0.520301342010498, 0.341198205947876, 0.06508594751358032)","(0.5244746804237366, 0.3136894404888153, 0.09178945422172546)","(0.580220639705658, 0.28683140873908997, -0.01554989442229271)","(0.5523955821990967, 0.3604302406311035, 0.029651416465640068)","(0.5454105734825134, 0.33327242732048035, 0.07019134610891342)","(0.5502833127975464, 0.30662399530410767, 0.08765542507171631)","(0.6049745082855225, 0.2839399576187134, 0.005328906700015068)","(0.5794604420661926, 0.33558109402656555, 0.042745888233184814)","(0.5705152750015259, 0.3160131573677063, 0.07114856690168381)","(0.5736398696899414, 0.2950749099254608, 0.08893194794654846)",Position
1224,"(0.6049203872680664, 0.09762883186340332, -7.093574095051736e-05)","(0.5451073050498962, 0.11812415719032288, 0.02625114470720291)","(0.5188560485839844, 0.18373383581638336, 0.04387664049863815)","(0.5141589641571045, 0.2452111542224884, 0.06728415191173553)","(0.5174970030784607, 0.2873026728630066, 0.09416651725769043)","(0.5181781649589539, 0.25854620337486267, -0.03513152524828911)","(0.49479347467422485, 0.3422496020793915, 0.011780842207372189)","(0.4968082308769226, 0.31899672746658325, 0.06024857237935066)","(0.5056211352348328, 0.29332536458969116, 0.08884039521217346)","(0.5497422814369202, 0.2815084159374237, -0.028460022062063217)","(0.5246144533157349, 0.36638909578323364, 0.01955234259366989)","(0.52159184217453, 0.3399277925491333, 0.06951882690191269)","(0.5258280634880066, 0.3123283386230469, 0.0956098809838295)","(0.5791653394699097, 0.2874744236469269, -0.012214354239404202)","(0.5522154569625854, 0.35928866267204285, 0.03349624201655388)","(0.5458234548568726, 0.3321647047996521, 0.07376944273710251)","(0.5508979558944702, 0.3050892949104309, 0.09105804562568665)","(0.6038164496421814, 0.2841739356517792, 0.0084960563108325)","(0.5785033702850342, 0.33500492572784424, 0.04641667380928993)","(0.5698257088661194, 0.31537842750549316, 0.07493305206298828)","(0.5730969309806824, 0.2939717173576355, 0.09234099835157394)",Position
1225,"(0.6041048169136047, 0.09515631198883057, -6.509017839562148e-05)","(0.5444449782371521, 0.11656858026981354, 0.028432033956050873)","(0.518235445022583, 0.18198314309120178, 0.04619402438402176)","(0.5131499171257019, 0.2432028204202652, 0.06924855709075928)","(0.5159062147140503, 0.28581756353378296, 0.09601961821317673)","(0.5190918445587158, 0.25709104537963867, -0.032032664865255356)","(0.4960272014141083, 0.3422381281852722, 0.014786829240620136)","(0.49731385707855225, 0.3219221234321594, 0.06320307403802872)","(0.5051078200340271, 0.29789572954177856, 0.09210184216499329)","(0.5509206652641296, 0.28019362688064575, -0.026772988960146904)","(0.5259640216827393, 0.3656920790672302, 0.021608514711260796)","(0.5216445326805115, 0.3414686620235443, 0.07298825681209564)","(0.524679958820343, 0.31501132249832153, 0.10041088610887527)","(0.5806276798248291, 0.2852358818054199, -0.012046650983393192)","(0.5535210371017456, 0.35748130083084106, 0.034221138805150986)","(0.5461740493774414, 0.33166030049324036, 0.0757751390337944)","(0.5503016710281372, 0.3052419126033783, 0.09403084963560104)","(0.6054233908653259, 0.27991169691085815, 0.00723793962970376)","(0.5806375741958618, 0.32980820536613464, 0.04558490589261055)","(0.5711790919303894, 0.3113682270050049, 0.07452312111854553)","(0.5733035206794739, 0.2909180521965027, 0.09212630242109299)",Position
1226,"(0.6043847799301147, 0.09676428139209747, -7.618044037371874e-05)","(0.5440241098403931, 0.1155451238155365, 0.026608413085341454)","(0.5173628330230713, 0.18135687708854675, 0.043552856892347336)","(0.5131973028182983, 0.2445708066225052, 0.06659042835235596)","(0.5187183022499084, 0.2858472168445587, 0.0930822491645813)","(0.5178623199462891, 0.25477203726768494, -0.03677744418382645)","(0.49344632029533386, 0.34078100323677063, 0.010974441654980183)","(0.4960927963256836, 0.31358420848846436, 0.05886590853333473)","(0.5059354901313782, 0.28570985794067383, 0.0867961123585701)","(0.5493781566619873, 0.27866125106811523, -0.030231401324272156)","(0.5233191251754761, 0.36447808146476746, 0.018165770918130875)","(0.5206682682037354, 0.33535218238830566, 0.06643643975257874)","(0.525741457939148, 0.3060567378997803, 0.09062810242176056)","(0.5787317156791687, 0.28490149974823, -0.013717502355575562)","(0.551123321056366, 0.35725656151771545, 0.03309738636016846)","(0.5450148582458496, 0.3287327289581299, 0.07140841335058212)","(0.5506462454795837, 0.30094677209854126, 0.0867885872721672)","(0.603173553943634, 0.28182804584503174, 0.007122205104678869)","(0.5769740343093872, 0.33321791887283325, 0.04635839909315109)","(0.5689383149147034, 0.3122924864292145, 0.07457280158996582)","(0.5732764005661011, 0.289745569229126, 0.09112706035375595)",Position
1227,"(0.6028974056243896, 0.09831590950489044, -7.552868191851303e-05)","(0.5429637432098389, 0.11624421179294586, 0.02533850446343422)","(0.5163991451263428, 0.18150073289871216, 0.04138590395450592)","(0.5137331485748291, 0.24466043710708618, 0.06351866573095322)","(0.5196157693862915, 0.2864215672016144, 0.08940742164850235)","(0.5154740214347839, 0.2522478401660919, -0.04210682585835457)","(0.4916945695877075, 0.3425736427307129, 0.004137387964874506)","(0.4950082302093506, 0.3184484541416168, 0.053618017584085464)","(0.5048415660858154, 0.29119551181793213, 0.08324626088142395)","(0.5468877553939819, 0.2761971950531006, -0.03557783365249634)","(0.5208649635314941, 0.36494025588035583, 0.010659021325409412)","(0.519089937210083, 0.3364698886871338, 0.05917918682098389)","(0.5245584845542908, 0.30729174613952637, 0.083643838763237)","(0.5762237310409546, 0.28386664390563965, -0.01917142979800701)","(0.548408567905426, 0.3574973940849304, 0.027055028825998306)","(0.5430444478988647, 0.3292604684829712, 0.06638899445533752)","(0.5491299033164978, 0.30196207761764526, 0.08211839199066162)","(0.6005875468254089, 0.2828020751476288, 0.001465470064431429)","(0.5739654898643494, 0.3340945839881897, 0.04052849858999252)","(0.5662042498588562, 0.31286320090293884, 0.06891445815563202)","(0.5707107186317444, 0.29057928919792175, 0.08515370637178421)",Position
1228,"(0.6017705202102661, 0.09868775308132172, -6.77157731843181e-05)","(0.5417532920837402, 0.1178046315908432, 0.02429346740245819)","(0.515831708908081, 0.1827419549226761, 0.04074923321604729)","(0.5129745602607727, 0.2430296242237091, 0.06388026475906372)","(0.517611563205719, 0.28604844212532043, 0.09086893498897552)","(0.5134289264678955, 0.2558756172657013, -0.04122551158070564)","(0.48924684524536133, 0.3395960330963135, 0.003339943243190646)","(0.49260804057121277, 0.31570449471473694, 0.050909701734781265)","(0.5027887225151062, 0.29003623127937317, 0.07831896096467972)","(0.5446221828460693, 0.2782074511051178, -0.03378591686487198)","(0.5189725160598755, 0.3642549514770508, 0.01084923930466175)","(0.5174014568328857, 0.33664265275001526, 0.05921672284603119)","(0.5227651000022888, 0.30873537063598633, 0.08399605751037598)","(0.5735262036323547, 0.2850116193294525, -0.016721351072192192)","(0.5463972091674805, 0.35752803087234497, 0.026032600551843643)","(0.5406498312950134, 0.3297891914844513, 0.0653766617178917)","(0.545982837677002, 0.3026873469352722, 0.08186724036931992)","(0.5974443554878235, 0.2838272154331207, 0.005021366290748119)","(0.5715494155883789, 0.33299022912979126, 0.04045781120657921)","(0.5630970597267151, 0.3119305372238159, 0.06771855056285858)","(0.5666137337684631, 0.2899349629878998, 0.0839696153998375)",Position
1229,"(0.600304901599884, 0.101844921708107, -6.672579183941707e-05)","(0.5406767725944519, 0.12110306322574615, 0.021826598793268204)","(0.5148323178291321, 0.1867745816707611, 0.037908684462308884)","(0.5122264623641968, 0.2467578947544098, 0.06104694679379463)","(0.5170550346374512, 0.28911614418029785, 0.08806301653385162)","(0.5127495527267456, 0.25639209151268005, -0.04446927830576897)","(0.4878222942352295, 0.3411366641521454, -0.00010721247235778719)","(0.490768164396286, 0.3180603086948395, 0.047359246760606766)","(0.5009578466415405, 0.2921244204044342, 0.0745900571346283)","(0.543387770652771, 0.2782851457595825, -0.03598104417324066)","(0.5168681144714355, 0.36428403854370117, 0.007836311124265194)","(0.5153146386146545, 0.3367522954940796, 0.055158261209726334)","(0.5207284092903137, 0.30880242586135864, 0.07859549671411514)","(0.5714290142059326, 0.28564950823783875, -0.017854269593954086)","(0.5432396531105042, 0.35677599906921387, 0.024402648210525513)","(0.5375991463661194, 0.3293621242046356, 0.0627557560801506)","(0.543021559715271, 0.30287617444992065, 0.07864121347665787)","(0.5945762991905212, 0.2858036160469055, 0.0044291652739048)","(0.5673885941505432, 0.33232343196868896, 0.039586372673511505)","(0.5590708255767822, 0.31084758043289185, 0.06564553827047348)","(0.5626450777053833, 0.2895113229751587, 0.08082956075668335)",Position
